Year,National League,2B,American League,2B
1949 (NL AL),Stan Musial+* (STL),41,Ted Williams+* (BOS),39
1948 (NL AL),Stan Musial+* (STL),46,Ted Williams+* (BOS),44
1947 (NL AL),Eddie Miller (CIN),38,Lou Boudreau+ (CLE),45
1946 (NL AL),Stan Musial+* (STL),50,Mickey Vernon* (WSH),51
1945 (NL AL),Tommy Holmes* (BSN),47,Wally Moses* (CHW),35
1944 (NL AL),Stan Musial+* (STL),51,Lou Boudreau+ (CLE),45
1943 (NL AL),Stan Musial+* (STL),48,Dick Wakefield* (DET),38
1942 (NL AL),Marty Marion (STL),38,Don Kolloway (CHW),40
1941 (NL AL),Johnny Mize+* (STL) • Pete Reiser* (BRO),39,Lou Boudreau+ (CLE),45
1940 (NL AL),Frank McCormick (CIN),44,Hank Greenberg+ (DET),50
1939 (NL AL),Enos Slaughter+* (STL),52,Red Rolfe* (NYY),46
1938 (NL AL),Joe Medwick+ (STL),47,Joe Cronin+ (BOS),51
1937 (NL AL),Joe Medwick+ (STL),56,Beau Bell (SLB),51
1936 (NL AL),Joe Medwick+ (STL),64,Charlie Gehringer+* (DET),60
1935 (NL AL),Billy Herman+ (CHC),57,Joe Vosmik (CLE),47
1934 (NL AL),Ethan Allen (PHI) • Kiki Cuyler+ (CHC),42,Hank Greenberg+ (DET),63
1933 (NL AL),Chuck Klein+* (PHI),44,Joe Cronin+ (WSH),45
1932 (NL AL),Paul Waner+* (PIT),62,Eric McNair (PHA),47
1931 (NL AL),Sparky Adams (STL),46,Earl Webb* (BOS),67
1930 (NL AL),Chuck Klein+* (PHI),59,Johnny Hodapp (CLE),51
1929 (NL AL),Johnny Frederick* (BRO),52,Charlie Gehringer+* (DET) • Roy Johnson* (DET) • Heinie Manush+* (SLB),45
1928 (NL AL),Paul Waner+* (PIT),50,Lou Gehrig+* (NYY) • Heinie Manush+* (SLB),47
1927 (NL AL),Riggs Stephenson (CHC),46,Lou Gehrig+* (NYY),52
1926 (NL AL),Jim Bottomley+* (STL),40,George Burns (CLE),64
1925 (NL AL),Jim Bottomley+* (STL),44,Marty McManus (SLB),44
1924 (NL AL),Rogers Hornsby+ (STL),43,Harry Heilmann+ (DET) • Joe Sewell+* (CLE),45
1923 (NL AL),Edd Roush+* (CIN),41,Tris Speaker+* (CLE),59
1922 (NL AL),Rogers Hornsby+ (STL),46,Tris Speaker+* (CLE),48
1921 (NL AL),Rogers Hornsby+ (STL),44,Tris Speaker+* (CLE),52
